,Flight Number,Onward/Return,Companies,Destination From,Destination to,Departure time,Arrival Time,Ticket Type,Class,Currency,Base Fare,Airline Taxes,Total Amount
0,996,Onward,AirIndia,DXB,DEL,2015-10-22T0005,2015-10-22T0445,E,G,SGD,117.0,429.8,546.8
1,332,Onward,AirIndia,DEL,BKK,2015-10-22T1350,2015-10-22T1935,E,G,SGD,117.0,429.8,546.8
2,333,Return,AirIndia,BKK,DEL,2015-10-30T0850,2015-10-30T1205,E,U,SGD,117.0,429.8,546.8
3,995,Return,AirIndia,DEL,DXB,2015-10-30T2040,2015-10-30T2245,E,U,SGD,117.0,429.8,546.8
4,163,Onward,Malaysia Airlines,DXB,KUL,2015-10-22T1935,2015-10-23T0705,E,N,SGD,563.0,60.8,623.8
5,5860,Onward,Malaysia Airlines,KUL,BKK,2015-10-23T1320,2015-10-23T1430,E,L,SGD,563.0,60.8,623.8
6,785,Return,Malaysia Airlines,BKK,KUL,2015-10-30T1105,2015-10-30T1415,E,N,SGD,563.0,60.8,623.8
7,162,Return,Malaysia Airlines,KUL,DXB,2015-10-30T1515,2015-10-30T1850,E,N,SGD,563.0,60.8,623.8
8,163,Onward,Malaysia Airlines,DXB,KUL,2015-10-22T1935,2015-10-23T0705,E,N,SGD,563.0,60.8,623.8
9,5860,Onward,Malaysia Airlines,KUL,BKK,2015-10-23T1320,2015-10-23T1430,E,L,SGD,563.0,60.8,623.8
10,797,Return,Malaysia Airlines,BKK,KUL,2015-10-30T0555,2015-10-30T0905,E,N,SGD,563.0,60.8,623.8
11,162,Return,Malaysia Airlines,KUL,DXB,2015-10-30T1515,2015-10-30T1850,E,N,SGD,563.0,60.8,623.8
12,163,Onward,Malaysia Airlines,DXB,KUL,2015-10-22T1935,2015-10-23T0705,E,N,SGD,563.0,60.8,623.8
13,774,Onward,Malaysia Airlines,KUL,BKK,2015-10-23T1615,2015-10-23T1720,E,N,SGD,563.0,60.8,623.8
14,785,Return,Malaysia Airlines,BKK,KUL,2015-10-30T1105,2015-10-30T1415,E,N,SGD,563.0,60.8,623.8
15,162,Return,Malaysia Airlines,KUL,DXB,2015-10-30T1515,2015-10-30T1850,E,N,SGD,563.0,60.8,623.8
16,163,Onward,Malaysia Airlines,DXB,KUL,2015-10-22T1935,2015-10-23T0705,E,N,SGD,563.0,60.8,623.8
17,774,Onward,Malaysia Airlines,KUL,BKK,2015-10-23T1615,2015-10-23T1720,E,N,SGD,563.0,60.8,623.8
18,797,Return,Malaysia Airlines,BKK,KUL,2015-10-30T0555,2015-10-30T0905,E,N,SGD,563.0,60.8,623.8
19,162,Return,Malaysia Airlines,KUL,DXB,2015-10-30T1515,2015-10-30T1850,E,N,SGD,563.0,60.8,623.8
20,163,Onward,Malaysia Airlines,DXB,KUL,2015-10-22T1935,2015-10-23T0705,E,N,SGD,563.0,60.8,623.8
21,776,Onward,Malaysia Airlines,KUL,BKK,2015-10-23T1850,2015-10-23T2000,E,N,SGD,563.0,60.8,623.8
22,785,Return,Malaysia Airlines,BKK,KUL,2015-10-30T1105,2015-10-30T1415,E,N,SGD,563.0,60.8,623.8
23,162,Return,Malaysia Airlines,KUL,DXB,2015-10-30T1515,2015-10-30T1850,E,N,SGD,563.0,60.8,623.8
24,163,Onward,Malaysia Airlines,DXB,KUL,2015-10-22T1935,2015-10-23T0705,E,N,SGD,563.0,60.8,623.8
25,776,Onward,Malaysia Airlines,KUL,BKK,2015-10-23T1850,2015-10-23T2000,E,N,SGD,563.0,60.8,623.8
26,797,Return,Malaysia Airlines,BKK,KUL,2015-10-30T0555,2015-10-30T0905,E,N,SGD,563.0,60.8,623.8
27,162,Return,Malaysia Airlines,KUL,DXB,2015-10-30T1515,2015-10-30T1850,E,N,SGD,563.0,60.8,623.8
28,163,Onward,Malaysia Airlines,DXB,KUL,2015-10-22T1935,2015-10-23T0705,E,N,SGD,563.0,60.8,623.8
29,780,Onward,Malaysia Airlines,KUL,BKK,2015-10-23T1750,2015-10-23T1855,E,N,SGD,563.0,60.8,623.8
30,785,Return,Malaysia Airlines,BKK,KUL,2015-10-30T1105,2015-10-30T1415,E,N,SGD,563.0,60.8,623.8
31,162,Return,Malaysia Airlines,KUL,DXB,2015-10-30T1515,2015-10-30T1850,E,N,SGD,563.0,60.8,623.8
32,163,Onward,Malaysia Airlines,DXB,KUL,2015-10-22T1935,2015-10-23T0705,E,N,SGD,563.0,60.8,623.8
33,780,Onward,Malaysia Airlines,KUL,BKK,2015-10-23T1750,2015-10-23T1855,E,N,SGD,563.0,60.8,623.8
34,797,Return,Malaysia Airlines,BKK,KUL,2015-10-30T0555,2015-10-30T0905,E,N,SGD,563.0,60.8,623.8
35,162,Return,Malaysia Airlines,KUL,DXB,2015-10-30T1515,2015-10-30T1850,E,N,SGD,563.0,60.8,623.8
36,163,Onward,Malaysia Airlines,DXB,KUL,2015-10-22T1935,2015-10-23T0705,E,N,SGD,563.0,60.8,623.8
37,782,Onward,Malaysia Airlines,KUL,BKK,2015-10-23T1515,2015-10-23T1620,E,N,SGD,563.0,60.8,623.8
38,785,Return,Malaysia Airlines,BKK,KUL,2015-10-30T1105,2015-10-30T1415,E,N,SGD,563.0,60.8,623.8
39,162,Return,Malaysia Airlines,KUL,DXB,2015-10-30T1515,2015-10-30T1850,E,N,SGD,563.0,60.8,623.8
40,163,Onward,Malaysia Airlines,DXB,KUL,2015-10-22T1935,2015-10-23T0705,E,N,SGD,563.0,60.8,623.8
41,782,Onward,Malaysia Airlines,KUL,BKK,2015-10-23T1515,2015-10-23T1620,E,N,SGD,563.0,60.8,623.8
42,797,Return,Malaysia Airlines,BKK,KUL,2015-10-30T0555,2015-10-30T0905,E,N,SGD,563.0,60.8,623.8
43,162,Return,Malaysia Airlines,KUL,DXB,2015-10-30T1515,2015-10-30T1850,E,N,SGD,563.0,60.8,623.8
44,163,Onward,Malaysia Airlines,DXB,KUL,2015-10-22T1935,2015-10-23T0705,E,N,SGD,563.0,60.8,623.8
45,784,Onward,Malaysia Airlines,KUL,BKK,2015-10-23T0910,2015-10-23T1015,E,N,SGD,563.0,60.8,623.8
46,785,Return,Malaysia Airlines,BKK,KUL,2015-10-30T1105,2015-10-30T1415,E,N,SGD,563.0,60.8,623.8
47,162,Return,Malaysia Airlines,KUL,DXB,2015-10-30T1515,2015-10-30T1850,E,N,SGD,563.0,60.8,623.8
48,163,Onward,Malaysia Airlines,DXB,KUL,2015-10-22T1935,2015-10-23T0705,E,N,SGD,563.0,60.8,623.8
49,784,Onward,Malaysia Airlines,KUL,BKK,2015-10-23T0910,2015-10-23T1015,E,N,SGD,563.0,60.8,623.8
50,797,Return,Malaysia Airlines,BKK,KUL,2015-10-30T0555,2015-10-30T0905,E,N,SGD,563.0,60.8,623.8
51,162,Return,Malaysia Airlines,KUL,DXB,2015-10-30T1515,2015-10-30T1850,E,N,SGD,563.0,60.8,623.8
52,163,Onward,Malaysia Airlines,DXB,KUL,2015-10-22T1935,2015-10-23T0705,E,N,SGD,563.0,60.8,623.8
53,788,Onward,Malaysia Airlines,KUL,BKK,2015-10-23T1220,2015-10-23T1325,E,N,SGD,563.0,60.8,623.8
54,785,Return,Malaysia Airlines,BKK,KUL,2015-10-30T1105,2015-10-30T1415,E,N,SGD,563.0,60.8,623.8
55,162,Return,Malaysia Airlines,KUL,DXB,2015-10-30T1515,2015-10-30T1850,E,N,SGD,563.0,60.8,623.8
56,163,Onward,Malaysia Airlines,DXB,KUL,2015-10-22T1935,2015-10-23T0705,E,N,SGD,563.0,60.8,623.8
57,788,Onward,Malaysia Airlines,KUL,BKK,2015-10-23T1220,2015-10-23T1325,E,N,SGD,563.0,60.8,623.8
58,797,Return,Malaysia Airlines,BKK,KUL,2015-10-30T0555,2015-10-30T0905,E,N,SGD,563.0,60.8,623.8
59,162,Return,Malaysia Airlines,KUL,DXB,2015-10-30T1515,2015-10-30T1850,E,N,SGD,563.0,60.8,623.8
60,535,Onward,JetAirways,DXB,BOM,2015-10-22T1510,2015-10-22T2000,E,V,SGD,311.0,336.4,647.4
61,62,Onward,JetAirways,BOM,BKK,2015-10-23T0105,2015-10-23T0655,E,V,SGD,311.0,336.4,647.4
62,61,Return,JetAirways,BKK,BOM,2015-10-30T0855,2015-10-30T1155,E,W,SGD,311.0,336.4,647.4
63,538,Return,JetAirways,BOM,DXB,2015-10-30T1540,2015-10-30T1735,E,V,SGD,311.0,336.4,647.4
64,535,Onward,JetAirways,DXB,BOM,2015-10-22T1510,2015-10-22T2000,E,V,SGD,311.0,336.4,647.4
65,70,Onward,JetAirways,BOM,BKK,2015-10-23T0840,2015-10-23T1440,E,V,SGD,311.0,336.4,647.4
66,61,Return,JetAirways,BKK,BOM,2015-10-30T0855,2015-10-30T1155,E,W,SGD,311.0,336.4,647.4
67,538,Return,JetAirways,BOM,DXB,2015-10-30T1540,2015-10-30T1735,E,V,SGD,311.0,336.4,647.4
68,535,Onward,JetAirways,DXB,BOM,2015-10-22T1510,2015-10-22T2000,E,V,SGD,311.0,336.4,647.4
69,70,Onward,JetAirways,BOM,BKK,2015-10-23T0840,2015-10-23T1440,E,V,SGD,311.0,336.4,647.4
70,61,Return,JetAirways,BKK,BOM,2015-10-30T0855,2015-10-30T1155,E,W,SGD,311.0,336.4,647.4
71,544,Return,JetAirways,BOM,DXB,2015-10-30T1850,2015-10-30T2045,E,V,SGD,311.0,336.4,647.4
72,537,Onward,JetAirways,DXB,BOM,2015-10-22T1845,2015-10-22T2330,E,V,SGD,311.0,336.4,647.4
73,62,Onward,JetAirways,BOM,BKK,2015-10-23T0105,2015-10-23T0655,E,V,SGD,311.0,336.4,647.4
74,61,Return,JetAirways,BKK,BOM,2015-10-30T0855,2015-10-30T1155,E,W,SGD,311.0,336.4,647.4
75,538,Return,JetAirways,BOM,DXB,2015-10-30T1540,2015-10-30T1735,E,V,SGD,311.0,336.4,647.4
76,537,Onward,JetAirways,DXB,BOM,2015-10-22T1845,2015-10-22T2330,E,V,SGD,311.0,336.4,647.4
77,70,Onward,JetAirways,BOM,BKK,2015-10-23T0840,2015-10-23T1440,E,V,SGD,311.0,336.4,647.4
78,61,Return,JetAirways,BKK,BOM,2015-10-30T0855,2015-10-30T1155,E,W,SGD,311.0,336.4,647.4
79,538,Return,JetAirways,BOM,DXB,2015-10-30T1540,2015-10-30T1735,E,V,SGD,311.0,336.4,647.4
80,537,Onward,JetAirways,DXB,BOM,2015-10-22T1845,2015-10-22T2330,E,V,SGD,311.0,336.4,647.4
81,70,Onward,JetAirways,BOM,BKK,2015-10-23T0840,2015-10-23T1440,E,V,SGD,311.0,336.4,647.4
82,61,Return,JetAirways,BKK,BOM,2015-10-30T0855,2015-10-30T1155,E,W,SGD,311.0,336.4,647.4
83,544,Return,JetAirways,BOM,DXB,2015-10-30T1850,2015-10-30T2045,E,V,SGD,311.0,336.4,647.4
84,384,Onward,China Southern Airlines,DXB,CAN,2015-10-22T0100,2015-10-22T1245,E,T,SGD,389.0,303.2,692.2
85,3035,Onward,China Southern Airlines,CAN,BKK,2015-10-22T1505,2015-10-22T1650,E,Y,SGD,389.0,303.2,692.2
86,358,Return,China Southern Airlines,BKK,CAN,2015-10-30T1155,2015-10-30T1545,E,Y,SGD,389.0,303.2,692.2
87,383,Return,China Southern Airlines,CAN,DXB,2015-10-30T1830,2015-10-30T2359,E,T,SGD,389.0,303.2,692.2
